# file created by code in factory_simulation_2.jl
# file created on 2023-11-11 at 23:55:26
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
# parameter: std_machine_1 = 7.185832891717325
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
     920.510,    82,Finish(2),before,   2,   0,   0,   1,   1
     920.510,    82,Finish(2), after,   2,   0,   0,   1,   0
     962.521,    81,Finish(1),before,   1,   0,   0,   1,   0
     962.521,    81,Finish(1), after,   2,   0,   0,   0,   1
     976.573,    85,Finish(2),before,   1,   0,   0,   0,   1
     976.573,    85,Finish(2), after,   1,   0,   0,   0,   0
     977.739,    78,  Arrival,before,   0,   0,   0,   0,   0
     977.739,    78,  Arrival, after,   2,   0,   0,   1,   0
     994.879,    87,  Arrival,before,   1,   0,   0,   1,   0
     994.879,    87,  Arrival, after,   2,   1,   0,   1,   0
    1003.783,    88,Finish(1),before,   1,   1,   0,   1,   0
    1003.783,    88,Finish(1), after,   3,   0,   0,   1,   1
    1030.849,    91,Finish(1),before,   2,   0,   0,   1,   1
    1030.849,    91,Finish(1), after,   2,   0,   1,   0,   1
    1042.612,    89,  Arrival,before,   1,   0,   1,   0,   1
    1042.612,    89,  Arrival, after,   3,   0,   1,   1,   1
    1054.978,    92,Finish(2),before,   2,   0,   1,   1,   1
    1054.978,    92,Finish(2), after,   3,   0,   0,   1,   1
    1068.596,    95,Finish(1),before,   2,   0,   0,   1,   1
    1068.596,    95,Finish(1), after,   2,   0,   1,   0,   1
    1072.470,    94,  Arrival,before,   1,   0,   1,   0,   1
    1072.470,    94,  Arrival, after,   3,   0,   1,   1,   1
    1077.667,    99,  Arrival,before,   2,   0,   1,   1,   1
    1077.667,    99,  Arrival, after,   3,   1,   1,   1,   1
    1095.701,   100,Finish(1),before,   2,   1,   1,   1,   1
    1095.701,   100,Finish(1), after,   3,   0,   2,   1,   1
    1096.661,    97,Finish(2),before,   2,   0,   2,   1,   1
    1096.661,    97,Finish(2), after,   3,   0,   1,   1,   1
    1113.552,   105,Finish(2),before,   2,   0,   1,   1,   1
    1113.552,   105,Finish(2), after,   3,   0,   0,   1,   1
    1118.947,   107,Finish(2),before,   2,   0,   0,   1,   1
    1118.947,   107,Finish(2), after,   2,   0,   0,   1,   0
    1134.214,   103,Finish(1),before,   1,   0,   0,   1,   0
    1134.214,   103,Finish(1), after,   2,   0,   0,   0,   1
    1143.683,   101,  Arrival,before,   1,   0,   0,   0,   1
    1143.683,   101,  Arrival, after,   3,   0,   0,   1,   1
    1175.409,   112,Finish(1),before,   2,   0,   0,   1,   1
    1175.409,   112,Finish(1), after,   2,   0,   1,   0,   1
    1309.235,   110,Finish(2),before,   1,   0,   1,   0,   1
    1309.235,   110,Finish(2), after,   2,   0,   0,   0,   1
    1334.759,   111,  Arrival,before,   1,   0,   0,   0,   1
    1334.759,   111,  Arrival, after,   3,   0,   0,   1,   1
    1355.488,   115,Finish(2),before,   2,   0,   0,   1,   1
    1355.488,   115,Finish(2), after,   2,   0,   0,   1,   0
    1366.807,   117,Finish(1),before,   1,   0,   0,   1,   0
    1366.807,   117,Finish(1), after,   2,   0,   0,   0,   1
    1389.371,   116,  Arrival,before,   1,   0,   0,   0,   1
    1389.371,   116,  Arrival, after,   3,   0,   0,   1,   1
    1413.501,   120,Finish(2),before,   2,   0,   0,   1,   1
    1413.501,   120,Finish(2), after,   2,   0,   0,   1,   0
    1418.254,   122,Finish(1),before,   1,   0,   0,   1,   0
    1418.254,   122,Finish(1), after,   2,   0,   0,   0,   1
    1425.518,   121,  Arrival,before,   1,   0,   0,   0,   1
    1425.518,   121,  Arrival, after,   3,   0,   0,   1,   1
    1426.632,   126,  Arrival,before,   2,   0,   0,   1,   1
    1426.632,   126,  Arrival, after,   3,   1,   0,   1,   1
    1429.447,   127,Finish(1),before,   2,   1,   0,   1,   1
    1429.447,   127,Finish(1), after,   3,   0,   1,   1,   1
    1460.194,   130,Finish(1),before,   2,   0,   1,   1,   1
    1460.194,   130,Finish(1), after,   2,   0,   2,   0,   1
    1461.078,   128,  Arrival,before,   1,   0,   2,   0,   1
    1461.078,   128,  Arrival, after,   3,   0,   2,   1,   1
    1465.775,   132,  Arrival,before,   2,   0,   2,   1,   1
    1465.775,   132,  Arrival, after,   3,   1,   2,   1,   1
