# file created by code in factory_simulation_2.jl
# file created on 2023-11-11 at 23:55:26
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
# parameter: std_machine_1 = 7.185832891717325
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,25.70755673124747,90.15662428430014
2,40.49940643026974,40.49940643026974,90.15662428430014,115.83125899072328
3,106.25105787025089,106.25105787025089,136.10556296583073,137.59304498307526
4,275.4938918922617,275.4938918922617,289.7113401904766,310.14655879851045
5,296.8140950771739,296.8140950771739,319.39109814498744,320.30460296416703
6,425.1326001462728,425.1326001462728,454.13040499524334,510.3252198127647
7,481.3683244468356,481.3683244468356,510.3252198127647,559.9660194782153
8,501.3772135369817,501.90885260774724,559.9660194782153,590.6128232347711
9,539.13307408157,539.13307408157,590.6128232347711,619.2411977432254
10,565.4495402052388,567.6825590408413,619.2411977432254,669.7880518584097
11,658.7944255712229,658.7944255712229,688.7403135378794,806.1542213919839
12,680.3174918900665,688.7403135378794,806.1542213919839,811.4064715582266
13,707.5894804210753,714.1311390220492,811.4064715582266,811.4596657551764
14,789.1352476446785,789.1352476446785,821.2566671486169,872.1104087747254
15,838.2506040776519,838.2506040776519,872.1104087747254,893.5793596383642
16,885.6590721239045,885.6590721239045,918.5984253605166,920.5097935688599
17,892.620263093669,918.5984253605166,962.521201884586,976.5730307919795
18,977.7390136888264,977.7390136888264,1003.7828209952584,1054.9782596769446
19,994.8794583215038,1003.7828209952584,1054.9782596769446,1096.6605174889376
20,1042.6116461719266,1042.6116461719266,1096.6605174889376,1113.5522921286831
21,1072.4702115181142,1072.4702115181142,1113.5522921286831,1118.9468494211576
22,1077.6668681956592,1095.7011169214927,1134.21400397366,1309.2351025971086
23,1143.6830255390769,1143.6830255390769,1309.2351025971086,1355.4882070281303
24,1334.7586190042198,1334.7586190042198,1366.8071949276311,1413.5007055529516
25,1389.3709547402618,1389.3709547402618,1418.2542240620858,1536.9931727661865
26,1425.5178177802284,1425.5178177802284,1536.9931727661865,1593.5532012095514
27,1426.6324852198175,1429.4470393180015,1593.5532012095514,1602.5068147766403
28,1461.0780166396135,1461.0780166396135,1602.5068147766403,1722.342078753536
29,1465.7746149683223,1485.453863417691,1722.342078753536,1876.4598017637325
30,1520.083979831825,1520.083979831825,1876.4598017637325,1960.11972912015
31,1567.5370768841465,1567.5370768841465,1960.11972912015,2094.9723899913074
32,1679.9606818255488,1679.9606818255488,2094.9723899913074,2106.0504610024072
33,1698.4469493601825,1698.7272509500865,2106.0504610024072,2129.756231727345
34,1854.242846775232,1854.242846775232,2129.756231727345,2158.3119532141177
35,1940.0323264735766,1940.0323264735766,2158.3119532141177,2328.3028346378337
36,2002.6669225763394,2002.6669225763394,2328.3028346378337,2504.984681904878
37,2005.1989586855225,2094.9723899913074,2504.984681904878,2625.6839822927946
38,2035.9686951595345,2121.3092029174773,2625.6839822927946,2655.716119774904
39,2062.4831948212914,2146.515812708459,2655.716119774904,2690.320553572791
40,2159.612416853747,2172.6615675195294,2690.320553572791,2780.509799477545
41,2482.6759520094033,2482.6759520094033,2780.509799477545,2794.4195904965122
42,2496.5608185318565,2509.2659504461603,2794.4195904965122,2806.528021000932
43,2512.7951515214495,2625.6839822927946,2806.528021000932,2853.8012251209075
44,2542.9734191243638,2656.1114496736704,2853.8012251209075,2964.380940233616
45,2548.7826098561286,2690.320553572791,2964.380940233616,2972.8670182867027
46,2559.648971755884,2780.509799477545,2972.8670182867027,3023.234948172684
47,2577.851472596542,2809.786168114584,3023.234948172684,3024.121842018712
48,2925.305094214962,2925.305094214962,3024.121842018712,3078.760482731376
49,2971.1589082485434,2971.1589082485434,3078.760482731376,3274.3437299283955
50,2975.687266567794,2985.6366219155007,3274.3437299283955,3372.2971145745178
51,3282.7824897170053,3282.7824897170053,3372.2971145745178,3488.0706099282042
52,3300.9595754566362,3300.9595754566362,3488.0706099282042,3506.6202618840994
53,3471.4601509461236,3471.4601509461236,3506.6202618840994,3554.436786101796
54,3491.626948642019,3495.4041534569938,3554.436786101796,3622.30379441182
55,3510.437486040482,3517.615500165488,3622.30379441182,3667.9775134149254
56,3570.7507526981594,3570.7507526981594,3667.9775134149254,3699.889153884252
57,3754.39013926699,3754.39013926699,3773.3381838906125,3835.510697811743
58,3772.784489456638,3773.3381838906125,3835.510697811743,3835.543206307482
59,3799.643459742207,3799.643459742207,3835.543206307482,3865.24275789364
60,3864.438880608021,3864.438880608021,3892.0857168280413,4159.787756329151
61,3894.331033009845,3894.331033009845,4159.787756329151,4203.185009120836
62,3896.228075870049,3910.7053869198335,4203.185009120836,4219.862041741135
63,3986.5520241466793,3986.5520241466793,4219.862041741135,4223.268509222715
64,4067.3655542982547,4067.3655542982547,4223.268509222715,4276.525975140035
65,4120.1803171627735,4120.1803171627735,4276.525975140035,4446.527402421302
66,4233.261421241309,4233.261421241309,4446.527402421302,4455.630709371276
67,4245.78828823074,4263.279368733569,4455.630709371276,4477.139719376081
68,4289.660806809301,4291.6996053191215,4477.139719376081,4557.759992322817
69,4290.426623995844,4310.861538596857,4557.759992322817,4636.014703045585
70,4463.838722012021,4463.838722012021,4636.014703045585,4821.496268616615
71,4635.904879965007,4635.904879965007,4821.496268616615,4868.710293066315
72,4669.242229323949,4669.242229323949,4868.710293066315,4878.454034996295
73,4688.6538985141615,4698.322814418136,4878.454034996295,4890.9427681538245
74,4736.648591383228,4736.648591383228,4890.9427681538245,5053.434307696765
75,4865.136648448227,4865.136648448227,5053.434307696765,5098.654302971716
76,4877.401533687035,4899.423314606383,5098.654302971716,5112.219556087416
77,4994.138718463538,4994.138718463538,5112.219556087416,5124.627089945551
78,5140.747082532537,5140.747082532537,5164.196887243035,5350.40565755496
79,5209.9477189187055,5209.9477189187055,5350.40565755496,5458.805343675298
80,5266.655581797159,5266.655581797159,5458.805343675298,5459.4369029206655
81,5341.920890404965,5341.920890404965,5459.4369029206655,5483.329146108924
82,5625.5386587927605,5625.5386587927605,5646.822197257159,5710.328807885117
83,5644.493310123446,5646.822197257159,5710.328807885117,5883.1474802187395
84,5755.445501213132,5755.445501213132,5883.1474802187395,5900.334668766698
85,5937.214525506045,5937.214525506045,5958.981136312231,5967.928106225054
86,5946.677255970667,5958.981136312231,5987.768186023674,6001.958464414941
87,5949.965148109711,5987.768186023674,6003.508197920809,6011.6012049276505
88,6285.589370739053,6285.589370739053,6312.057293158,6347.552779334407
89,6353.987239703413,6353.987239703413,6382.204931507473,6510.27490991163
90,6545.8429373524705,6545.8429373524705,6565.6781304667775,6640.70542771574
91,6638.817456676014,6638.817456676014,6674.951376508027,6683.502400395106
92,6663.292915538037,6674.951376508027,6700.320682508648,6716.080078362098
93,6663.686781335335,6700.320682508648,6716.080078362098,6785.923999327344
94,6726.019926997407,6726.019926997407,6785.923999327344,6796.9543790794
95,6785.074950861887,6785.074950861887,6805.983059698444,6858.179575835875
96,6847.592932857673,6847.592932857673,6867.973244879842,6983.591445561773
97,6870.925143873603,6870.925143873603,6983.591445561773,7103.900772998573
98,6927.404863844603,6927.404863844603,7103.900772998573,7121.025923759647
99,6952.106293895107,6952.106293895107,7121.025923759647,7182.415110140919
100,7030.997536615358,7030.997536615358,7182.415110140919,7188.58525394304
101,7079.771226815328,7079.771226815328,7188.58525394304,7250.568444186624
102,7152.076586676603,7152.076586676603,7250.568444186624,7256.637343523827
103,7403.737304031689,7403.737304031689,7424.130769148027,7473.04562375091
104,7428.162647388908,7428.162647388908,7473.04562375091,7585.8162556116595
105,7449.122850744481,7457.031333678566,7585.8162556116595,7663.047096390369
